34200.007780658,4,8574201,23,2134000,-1
34200.332976723,1,8770149,100,2126400,1
34200.492462611,6,-1,19725,2133500,-1
34200.492462611,1,6756607,1752,2133500,1
34200.492462611,1,3146453,15,2135000,-1
34200.492462611,1,7252378,5,2132600,1
34200.492462611,1,5502065,1,2135000,-1
34200.492462611,1,6252826,6,2132500,1
34200.492462611,1,7200188,350,2137000,-1
34200.492462611,1,4151867,47,2131000,1
34200.492462611,1,3671133,50,2130000,1
34200.492462611,1,4015142,2,2130000,1
34200.492462611,1,4490967,8,2130000,1
34200.492462611,1,5203157,5,2130000,1
34200.492462611,1,5539893,60,2130000,1
34200.492462611,1,6823462,25,2130000,1
34200.492462611,1,7087997,14,2130000,1
34200.492462611,1,7323188,200,2130000,1
34200.492462611,1,2703149,6,2129000,1
34200.495578064,4,8574201,200,2134000,-1
34200.496060008,4,8574201,77,2134000,-1
34200.496149804,1,8814916,100,2133600,1
34200.496400481,1,8814964,200,2136900,-1
34200.496950332,1,8815112,200,2133700,1
34200.497854428,3,8814964,200,2136900,-1
34200.546253717,3,8814916,100,2133600,1
34200.559199502,1,8829525,78,2134000,-1
34200.580826018,4,8829525,78,2134000,-1
34200.930944949,1,8895561,3,2133700,1
34201.013532726,1,8908510,100,2135400,-1
34201.014941014,5,0,100,2133800,1
34201.149417591,3,8574203,200,2138700,-1
34201.220091181,5,0,14,2134600,1
34201.279265571,1,8947077,40,2130000,1
34201.62417489,5,0,25,2134600,1
34201.624181025,5,0,25,2134600,1
34201.624186296,5,0,20,2134600,1
34201.624446938,4,8815112,100,2133700,1
34201.624881166,1,8999485,100,2134600,-1
34201.625069898,3,8815112,100,2133700,1
34201.897971506,4,8895561,3,2133700,1
34201.898022274,1,9048906,100,2134400,-1
34201.898079405,3,8999485,100,2134600,-1
34201.920290897,4,6756607,900,2133500,1
34201.920340111,4,6756607,852,2133500,1
34201.920727407,1,9052854,400,2133500,-1
34201.948076997,3,9048906,100,2134400,-1
34201.954050118,1,9058469,100,2135300,-1
34201.962694145,1,9060027,100,2133300,-1
34201.96510169,3,9060027,100,2133300,-1
